ID,Country,Managed By,Fulfill Via,Vendor INCO Term,Shipment Mode,Product Group,Sub Classification,Vendor,Brand,Dosage Form,Unit of Measure (Per Pack),Line Item Quantity,Manufacturing Site,First Line Designation,Weight (Kilograms),Freight Cost (USD),Project Code_0,Project Code_2,PQ #_0,PO / SO #_0,PO / SO #_1,ASN/DN #_0,ASN/DN #_1,PQ First Sent to Client Date_str,PO Sent to Vendor Date_str,Freight Cost (USD)_str,abacavir,amodiaquine,artemether,artesunate,atazanavir,chloroquine,darunavir,didanosine,efavirenz,emtricitabine,etravirine,indinavir,lamivudine,lopinavir,lumefantrine,mefloquine,nelfinavir,nevirapine,primaquine,pyrimethamine,quinine,raltegravir,ritonavir,saquinavir,stavudine,sulfadoxine,tenofovir,zidovudine,Unit Price,Insurance Ratio,POCycle,IsDelay
60,41,2,0,1,0,2,1,3,0,10,120,2800,7,1,643.0,,10,0,1,1,221,0,223,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0.34,,,0
61,41,2,0,5,0,3,2,69,39,15,20,2500,86,1,853.0,13569.49,10,0,1,1,226,0,137,2,0,2,5,2,2,2,4,2,3,9,5,3,2,2,6,5,2,2,3,6,2,2,3,2,7,3,8,2,3,6,2.0,,,0
62,28,2,0,5,0,3,2,25,19,15,100,10,28,1,,,2,0,1,1,230,0,144,2,0,1,5,2,2,2,4,2,3,9,5,3,2,2,6,5,2,2,3,6,2,2,3,2,7,3,8,2,3,6,0.85,,,0
64,30,2,0,5,0,2,1,22,15,12,60,10000,24,1,7416.0,64179.42,7,0,1,1,268,0,242,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.17,,,0
65,16,2,0,5,0,3,2,0,11,15,100,750,5,1,256.0,1760.32,6,0,1,1,274,0,162,2,0,2,5,2,2,2,4,2,3,9,5,3,2,2,6,5,2,2,3,6,2,2,3,2,7,3,8,2,3,6,0.8,,,0
68,42,2,0,1,0,2,5,18,40,10,60,579,17,1,,,13,0,1,1,308,0,285,2,2,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42,,,0
69,28,2,0,1,2,3,2,6,11,15,100,1500,5,1,,,2,0,1,1,354,0,608,2,0,0,5,2,2,2,4,2,3,9,5,3,2,2,6,5,2,2,3,6,2,2,3,2,7,3,8,2,3,6,0.8,0.0016,,0
80,30,2,0,5,0,3,2,53,14,15,30,2000,75,1,710.0,3120.7,7,0,1,1,488,0,299,2,0,2,5,2,2,2,4,2,3,9,5,3,2,2,6,5,2,2,3,6,2,2,3,2,7,3,8,2,3,6,0.55,,,0
87,37,2,0,1,0,2,5,18,40,9,200,712,17,1,162.0,912.96,9,0,1,1,555,0,409,2,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,,,0
92,28,2,0,5,0,3,2,0,11,15,100,1000,5,1,341.0,2682.47,2,0,1,1,592,0,485,2,2,2,5,2,2,2,4,2,3,9,5,3,2,2,6,5,2,2,3,6,2,2,3,2,7,3,8,2,3,6,0.8,0.0016,,0
96,28,2,0,5,0,3,2,21,35,15,20,7500,22,1,2278.0,15893.71,2,0,1,1,570,0,451,2,2,2,5,2,2,2,4,2,3,9,5,3,2,2,6,5,2,2,3,6,2,2,3,2,7,3,8,2,3,6,1.35,,,0
108,9,2,0,1,0,2,5,18,40,10,60,5513,17,1,2126.0,,4,0,1,1,698,0,727,2,2,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42,0.001599997154675402,,0
115,40,2,0,5,0,2,5,13,15,8,240,1000,11,1,941.0,4193.49,8,0,1,1,753,0,781,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.01,0.0015989583333333333,,0
116,40,2,0,6,0,2,1,3,0,10,120,500,7,1,117.0,1767.38,8,0,1,1,759,0,632,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0.68,0.001599951332278866,,0
130,16,2,0,5,0,3,2,50,11,15,100,750,44,1,171.0,3518.38,0,0,1,1,10080,0,628,2,2,2,5,2,2,2,4,2,3,9,5,3,2,2,6,5,2,2,3,6,2,2,3,2,7,3,8,2,3,6,0.72,0.0016000370421817844,,1
134,16,2,0,5,0,3,2,49,28,15,100,25,74,1,60.0,3097.85,0,0,1,1,10130,0,616,2,2,2,5,2,2,2,4,2,3,9,5,3,2,2,6,5,2,2,3,6,2,2,3,2,7,3,8,2,3,6,3.5,0.0016,,0
138,37,2,0,5,0,3,2,62,2,15,25,10000,84,1,3335.0,27869.74,9,0,1,1,10270,0,710,2,0,2,5,2,2,2,4,2,3,9,5,3,2,2,6,5,2,2,3,6,2,2,3,2,7,3,8,2,3,6,0.8,0.0016,,0
139,37,2,0,5,0,3,2,62,2,15,25,10000,84,1,3335.0,28461.1,9,0,1,1,10290,0,788,2,0,2,5,2,2,2,4,2,3,9,5,3,2,2,6,5,2,2,3,6,2,2,3,2,7,3,8,2,3,6,0.8,0.0016,,0
140,37,2,0,5,0,3,2,62,2,15,25,10000,84,1,3335.0,28359.8,9,0,1,1,10300,0,856,2,0,2,5,2,2,2,4,2,3,9,5,3,2,2,6,5,2,2,3,6,2,2,3,2,7,3,8,2,3,6,0.8,0.0016,,0
161,11,2,0,5,0,2,1,13,15,0,60,64000,11,1,4228.0,12237.61,16,0,1,1,11070,0,916,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0.03,0.0016,,0
176,28,2,0,5,0,3,2,21,35,15,20,10000,22,1,3263.0,20885.78,2,0,1,1,11750,0,745,2,2,2,5,2,2,2,4,2,3,9,5,3,2,2,6,5,2,2,3,6,2,2,3,2,7,3,8,2,3,6,1.35,0.0016,,0
262,33,2,0,3,2,2,5,38,32,7,200,40,36,1,,,15,0,1,1,14050,0,1251,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.04,0.001605793450881612,,0
269,40,2,0,5,0,2,1,26,44,10,30,1000,29,1,76.0,2282.57,8,0,1,1,14190,0,1192,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.57,0.0015999999999999999,,0
270,40,2,0,5,0,2,1,65,15,10,60,400,80,1,23.0,2149.05,8,0,1,1,14200,0,1171,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.14,0.0015990453460620526,,0
284,30,2,0,5,0,3,3,50,15,16,100,1500,44,1,99.0,0.75,7,0,1,1,14630,0,1253,2,2,2,5,2,2,2,4,2,3,9,5,3,2,2,6,5,2,2,3,6,2,2,3,2,7,3,8,2,3,6,0.0,0.0013333333333333333,,0
305,28,2,0,5,0,3,3,50,15,16,100,650,44,1,,,20,0,1,1,15550,0,1269,2,0,1,5,2,2,2,4,2,3,9,5,3,2,2,6,5,2,2,3,6,2,2,3,2,7,3,8,2,3,6,0.0,0.0015384615384615385,,0
343,33,2,0,3,2,2,5,38,46,9,200,200,17,1,,,15,0,1,1,16600,0,1520,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.01,0.0015882352941176472,,0
361,16,2,0,5,0,3,2,69,4,15,100,2,86,1,,,21,0,1,1,14080,0,1318,2,0,1,5,2,2,2,4,2,3,9,5,3,2,2,6,5,2,2,3,6,2,2,3,2,7,3,8,2,3,6,1.39,0.0015827338129496403,,0
391,9,2,0,5,0,3,2,15,16,15,40,476,14,1,509.0,5446.51,4,0,1,1,18290,0,1879,2,2,2,5,2,2,2,4,2,3,9,5,3,2,2,6,5,2,2,3,6,2,2,3,2,7,3,8,2,3,6,1.9,0.0015999557717823972,,0
392,9,2,0,5,0,3,2,62,2,15,25,659,84,1,206.0,2656.12,4,0,1,1,18310,0,3435,2,2,2,5,2,2,2,4,2,3,9,5,3,2,2,6,5,2,2,3,6,2,2,3,2,7,3,8,2,3,6,0.8,0.0019597875569044004,,0
398,15,2,0,5,0,3,3,50,15,16,100,240,44,1,,,2,0,1,1,18480,0,1502,2,2,1,5,2,2,2,4,2,3,9,5,3,2,2,6,5,2,2,3,6,2,2,3,2,7,3,8,2,3,6,0.0,0.0,,0
399,15,2,0,5,0,3,3,50,15,16,100,213,44,1,14.0,360.0,2,0,1,1,18500,0,2117,2,2,2,5,2,2,2,4,2,3,9,5,3,2,2,6,5,2,2,3,6,2,2,3,2,7,3,8,2,3,6,0.0,0.0,,0
400,11,2,0,3,2,3,2,70,4,15,100,63,86,1,,,16,0,1,1,18430,0,1465,2,2,0,5,2,2,2,4,2,3,9,5,3,2,2,6,5,2,2,3,6,2,2,3,2,7,3,8,2,3,6,2.13,0.0016000895572513389,,0
410,42,2,0,5,0,3,2,50,11,15,100,1634,44,1,373.0,4112.46,13,0,1,1,18870,0,2434,2,2,2,5,2,2,2,4,2,3,9,5,3,2,2,6,5,2,2,3,6,2,2,3,2,7,3,8,2,3,6,0.72,0.0015999944232700618,,0
411,28,2,0,5,0,3,2,21,35,15,20,1425,22,1,483.0,5468.88,20,0,1,1,18940,0,1467,2,2,2,5,2,2,2,4,2,3,9,5,3,2,2,6,5,2,2,3,6,2,2,3,2,7,3,8,2,3,6,1.35,0.0016,,0
414,27,2,0,5,0,3,2,50,11,15,100,142,44,1,33.0,1715.17,17,0,1,1,19130,0,1798,2,2,2,5,2,2,2,4,2,3,9,5,3,2,2,6,5,2,2,3,6,2,2,3,2,7,3,8,2,3,6,0.72,0.0016003787693517682,,0
420,40,2,0,5,0,2,1,46,15,10,30,8400,66,1,654.0,4051.34,8,0,1,1,19490,0,1753,2,2,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38,0.001599987555998009,,0
422,33,2,0,3,4,2,1,58,22,0,270,6,82,1,,,15,0,1,1,19800,0,1665,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.25,0.001604700538191873,,0
423,33,2,0,3,4,2,5,58,46,9,200,600,17,0,,,15,0,1,1,19800,0,1665,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.01,0.0015977011494252872,,0
438,40,2,0,1,0,2,5,18,40,1,60,400,17,1,81.0,2211.05,8,0,1,1,20310,0,1923,2,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0.0016,,0
459,33,2,0,3,2,2,5,58,40,1,60,6,17,1,,,15,0,1,1,21460,0,1667,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21,0.0015564202334630351,,0
464,28,2,0,5,0,3,2,50,11,15,100,5498,44,1,1251.0,16090.22,2,0,1,1,21540,0,2008,2,0,2,5,2,2,2,4,2,3,9,5,3,2,2,6,5,2,2,3,6,2,2,3,2,7,3,8,2,3,6,0.8,0.0016000090225901735,,0
465,28,2,0,5,0,3,3,50,15,16,100,5498,44,1,,,2,0,1,1,21540,0,2011,2,0,1,5,2,2,2,4,2,3,9,5,3,2,2,6,5,2,2,3,6,2,2,3,2,7,3,8,2,3,6,0.0,0.001636958894143325,,0
466,11,2,0,3,0,3,2,70,39,15,20,15,86,1,,,16,0,1,1,21550,0,1741,2,0,0,5,2,2,2,4,2,3,9,5,3,2,2,6,5,2,2,3,6,2,2,3,2,7,3,8,2,3,6,2.3,0.0016053918023777158,,0
530,40,2,0,5,0,2,1,46,15,10,30,1344,66,1,1537.0,13507.92,8,0,1,1,23450,0,2336,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.46,0.0015997568500313742,,0
531,33,2,0,3,4,2,1,58,46,0,60,20,17,1,,,15,0,1,1,23500,0,2783,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0.09,0.0019342359767891683,,0
532,33,2,0,3,4,2,1,58,41,4,30,100,17,1,,,15,0,1,1,23500,0,2293,2,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.64,0.0016002098635886674,,0
533,33,2,0,3,4,2,5,58,46,9,200,670,17,0,,,15,0,1,1,23500,0,2293,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.01,0.0015998439176665691,,0
535,37,2,0,1,0,2,1,18,41,4,30,2597,17,1,117.0,645.1,9,0,1,1,23610,0,2167,2,2,2,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.79,0.0015999416960748476,,0
543,16,2,0,5,0,3,2,49,28,15,100,28,74,1,109.0,782.13,6,0,1,1,23840,0,2504,2,2,2,5,2,2,2,4,2,3,9,5,3,2,2,6,5,2,2,3,6,2,2,3,2,7,3,8,2,3,6,3.5,0.0016,,0
551,16,2,0,5,0,3,2,69,4,15,100,84,86,1,54.0,871.57,6,0,1,1,24020,0,2865,2,2,2,5,2,2,2,4,2,3,9,5,3,2,2,6,5,2,2,3,6,2,2,3,2,7,3,8,2,3,6,1.39,0.0019595751969852687,,0
598,33,2,0,3,4,2,1,58,47,11,60,30,37,1,,,15,0,1,1,25540,0,2295,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.58,0.001600914808461978,,0
610,40,2,0,5,0,2,1,13,15,10,60,38640,11,1,2719.0,18614.72,8,0,1,1,26180,0,2274,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.0016000258799171842,,0
630,28,2,0,5,0,0,0,31,7,13,540,34,69,1,115.0,1755.87,12,0,1,1,26560,0,2366,2,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0.0016023984286157344,,0
637,40,2,0,5,0,2,1,13,15,0,60,42000,11,1,2600.0,10179.16,8,0,1,1,26200,0,2563,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0.02,0.0015999999999999999,,0
646,33,2,0,3,4,2,5,58,43,8,240,50,13,1,,,15,0,1,1,26820,0,2488,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.06,0.0015936826992103375,,0
660,40,2,0,5,0,2,1,46,15,10,30,16800,66,1,1224.0,4686.88,8,0,1,1,27360,0,2767,2,2,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34,0.0019600214963316044,,0
668,15,2,0,1,0,4,4,72,29,15,25,98,68,1,34.0,180.0,2,0,1,1,27670,0,2255,2,2,2,5,2,2,2,4,2,3,9,5,3,2,2,6,5,2,2,3,6,2,2,3,2,7,3,8,2,3,6,1.5,0.0016,,0
670,41,2,0,5,0,3,2,50,11,15,100,4500,44,1,1053.0,11062.05,10,0,1,1,27790,0,2641,2,2,2,5,2,2,2,4,2,3,9,5,3,2,2,6,5,2,2,3,6,2,2,3,2,7,3,8,2,3,6,0.72,0.0019599944436727323,,0
712,27,2,0,5,0,3,2,69,39,15,20,10,86,1,,,17,0,1,1,28840,0,2450,2,2,1,5,2,2,2,4,2,3,9,5,3,2,2,6,5,2,2,3,6,2,2,3,2,7,3,8,2,3,6,1.6,0.0015937500000000001,,0
717,9,2,0,5,0,3,2,15,16,15,40,500,14,1,562.0,11298.13,4,0,1,1,29140,0,2472,2,2,2,5,2,2,2,4,2,3,9,5,3,2,2,6,5,2,2,3,6,2,2,3,2,7,3,8,2,3,6,1.9,0.0015999999999999999,,0
719,9,2,0,5,0,0,0,31,15,14,12,25000,47,1,1708.0,12830.91,4,0,1,1,29340,0,2921,2,2,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.00196,,0
772,28,2,0,1,0,2,1,42,1,12,30,9,65,1,,,27,0,1,1,30502,0,3653,2,2,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1.68,0.0019620811287477955,,1
791,27,2,0,5,0,3,2,50,11,15,100,150,44,1,46.0,2698.04,17,0,1,1,31180,0,2717,2,2,2,5,2,2,2,4,2,3,9,5,3,2,2,6,5,2,2,3,6,2,2,3,2,7,3,8,2,3,6,0.72,0.0019604574709450387,,0
796,4,2,0,5,0,3,3,69,39,16,2,15,86,1,1.0,578.01,2,0,1,1,31370,0,2796,2,2,2,5,2,2,2,4,2,3,9,5,3,2,2,6,5,2,2,3,6,2,2,3,2,7,3,8,2,3,6,15.0,0.0019555555555555554,,0
797,41,2,0,5,0,3,2,62,2,15,25,319,84,1,100.0,1122.24,10,0,1,1,31380,0,3172,2,2,2,5,2,2,2,4,2,3,9,5,3,2,2,6,5,2,2,3,6,2,2,3,2,7,3,8,2,3,6,0.8,0.001959247648902821,,0
835,33,2,0,3,4,2,1,58,44,10,30,80,10,1,,,15,0,1,1,33320,0,3553,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.76,0.00196131993006993,,0
836,33,2,0,3,4,2,1,58,44,10,30,120,10,1,,,15,0,1,1,33320,0,3892,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.76,0.0019594988344988347,,0
837,33,2,0,3,4,2,5,58,46,9,200,600,17,0,,,15,0,1,1,33320,0,3553,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.01,0.001958041958041958,,0
838,33,2,0,3,4,2,5,58,40,1,60,7,17,0,,,15,0,1,1,33320,0,3553,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22,0.0019704433497536944,,0
839,33,2,0,3,4,2,5,58,24,7,300,40,3,0,,,15,0,1,1,33320,0,3553,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.11,0.0019627798778714747,,0
849,15,2,0,1,0,4,4,72,29,15,25,108,68,1,,,2,0,1,1,33930,0,3209,2,2,0,5,2,2,2,4,2,3,9,5,3,2,2,6,5,2,2,3,6,2,2,3,2,7,3,8,2,3,6,1.5,0.001960493827160494,,0
858,37,2,0,1,0,2,1,42,1,12,30,50000,65,1,4093.0,9339.0,9,0,1,1,34680,0,3332,2,2,2,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1.68,0.00196,,0
914,9,2,0,5,0,1,4,31,15,5,100,140,30,1,5209.0,25405.22,4,0,1,1,35790,0,3242,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.2,0.0019587024968880425,,0
937,26,2,0,5,0,3,2,69,39,15,20,5700,86,1,1906.0,23914.8,11,0,1,1,36660,0,3509,2,2,2,5,2,2,2,4,2,3,9,5,3,2,2,6,5,2,2,3,6,2,2,3,2,7,3,8,2,3,6,1.6,0.0019599780701754386,,0
960,40,2,0,5,0,2,1,13,15,12,60,5964,11,1,3509.0,12835.2,8,0,1,1,37170,0,3562,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.14,0.0019600763699502474,,0
961,40,2,0,5,0,2,1,13,15,10,60,21000,11,0,3509.0,12835.2,8,0,1,1,37170,0,3562,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.001959920634920635,,0
962,40,2,0,5,0,2,1,22,15,12,60,10560,24,1,924.0,4225.93,8,0,1,1,37180,0,3521,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,6,0,0,0,0.12,0.0019599527887571365,,0
979,40,2,0,5,0,2,1,13,15,12,60,2352,11,1,211.0,892.5,8,0,1,1,31721,0,3454,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.14,0.00195993031358885,,0
985,37,2,0,6,0,2,5,3,24,7,300,524,3,1,644.0,6668.61,9,0,1,1,38370,0,3751,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.14,0.001959937594026857,,0
986,37,2,0,6,0,2,5,3,15,10,60,2094,7,1,237.0,,9,0,1,1,38380,0,3627,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0.17,0.001959926267007087,,0
993,30,2,0,5,0,3,2,53,14,15,30,8249,75,1,2800.0,12595.81,7,0,1,1,38660,0,3710,2,2,2,5,2,2,2,4,2,3,9,5,3,2,2,6,5,2,2,3,6,2,2,3,2,7,3,8,2,3,6,0.75,0.001959995150927385,,0
1037,28,2,0,1,0,2,1,18,41,4,30,200,17,1,11.0,463.0,20,0,1,1,39640,0,4747,2,2,2,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.79,0.0019602872834811997,,0
1046,16,2,0,1,0,2,5,18,40,1,60,80,17,1,43.0,260.0,6,0,1,1,40000,0,3675,2,2,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0.0019605263157894738,,0
1047,16,2,0,1,0,2,5,18,40,9,200,32,17,0,43.0,260.0,6,0,1,1,40000,0,3675,2,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0.001960881652104845,,0
1048,16,2,0,6,0,2,5,3,15,10,60,46,7,1,10.0,893.22,6,0,1,1,40030,0,3750,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0.17,0.001966672305870411,,0
1063,33,2,0,3,0,2,1,58,15,10,30,3025,11,1,,,15,0,1,1,40810,0,3634,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.52,0.001959903414680337,,0
1065,33,2,0,3,0,2,1,58,15,10,30,3500,24,1,,,15,0,1,1,41040,0,3623,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.47,0.0019600722311396467,,0
1066,33,2,0,3,0,2,5,58,15,7,240,1008,11,0,,,15,0,1,1,41040,0,3623,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.01,0.0019590467273051543,,0
1067,33,2,0,3,0,2,5,58,46,9,200,960,17,1,,,15,0,1,1,41060,0,3624,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.01,0.001961805555555555,,0
1068,33,2,0,3,0,2,5,58,13,7,240,1800,36,1,,,15,0,1,1,41070,0,3625,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.0019596651445966517,,0
1070,33,2,0,3,0,2,1,58,15,0,60,1200,11,1,,,15,0,1,1,41140,0,3752,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0.05,0.0019592198581560283,,0
