Order_ID,Agent_Age,Store_Latitude,Store_Longitude,Order_Date,Order_Time,Weather,Traffic,Vehicle,Area,Delivery_Time,Category,Drop_Distance,Wait_Time,Dissatisfied
cwvq091479872,2,25.449659,81.839744,19038.0,620.0,2,2,3,0,70.0,11,2.992439854305071,1,0
ivtf765857546,20,30.372202,78.077151,19038.0,1255.0,3,1,1,0,150.0,12,7.335684979628153,0,0
emlt327861941,4,,,19058.0,640.0,3,2,2,0,15.0,5,,1,0
rufz727804632,16,,,19079.0,955.0,1,3,2,3,80.0,0,,1,0
gkrb550339468,20,12.972793,80.249982,19067.0,1210.0,0,1,2,0,180.0,6,13.944598794232533,0,0
tsec016509855,3,21.157735,72.768778,19068.0,730.0,4,0,2,3,90.0,14,6.071959804867507,0,0
xczs106918282,13,21.186438,72.794115,19066.0,930.0,1,3,2,0,85.0,9,6.071422120848535,2,0
lgee738117860,5,,,19076.0,1330.0,2,2,1,3,75.0,0,,0,0
nxfs257449148,10,,,19060.0,635.0,1,2,1,0,85.0,1,,1,0
wycd588946822,7,17.431477,78.40035,19056.0,1430.0,1,2,1,0,50.0,11,9.204061108012812,3,0
bhdi726355812,1,,,19034.0,1270.0,1,1,1,0,135.0,14,,2,0
wnbv620439671,16,13.064181,80.236442,19063.0,1225.0,2,1,1,0,185.0,10,13.942135995521298,2,1
jvco758418006,20,12.933298,77.614293,19080.0,1250.0,1,1,2,0,220.0,4,13.945658037651098,1,0
zkks967394571,15,22.311358,73.164798,19070.0,755.0,5,0,3,0,140.0,13,6.049848888721861,1,0
oiyh656906407,8,12.934365,77.616155,19061.0,1260.0,0,1,2,0,210.0,0,17.04433026158702,2,0
dfit633531471,11,,,19039.0,1420.0,5,2,1,0,125.0,14,,2,0
qhxw976953297,6,13.086438,80.220672,19078.0,1095.0,0,3,2,0,195.0,7,17.039320664078645,0,1
mryb985330207,6,19.254567,72.848923,19078.0,1100.0,3,3,1,3,100.0,4,16.790293751513897,0,0
jzam829230168,11,26.913483,75.803139,19075.0,705.0,3,0,1,0,155.0,8,2.976038261804114,0,0
xnod694467359,5,17.411028,78.329645,19060.0,1245.0,3,1,1,0,65.0,6,9.204543446314432,1,0
hcno407153953,20,18.516216,73.842527,19054.0,1315.0,3,1,1,0,140.0,6,7.648215327844156,2,0
gyjc869072111,6,15.5696,73.742294,19038.0,765.0,5,0,2,3,95.0,13,6.164026189217134,0,0
wkqq813752515,18,19.876428,75.364792,19041.0,1410.0,1,2,1,3,210.0,8,12.189899417672075,2,0
vdfj488526028,5,12.939496,77.625999,19052.0,650.0,1,2,1,0,115.0,4,1.5496181081271545,0,0
pngq326709686,6,17.433809,78.386744,19074.0,1285.0,3,1,1,0,195.0,3,16.872927418719993,2,1
caja224507886,13,23.374878,85.335739,19083.0,610.0,3,2,1,0,125.0,9,1.507218847377163,1,0
hnme204254454,15,-27.163303,78.057044,19039.0,1380.0,2,2,2,0,75.0,2,6019.211230800505,0,0
uehx759760979,19,22.74806,75.8934,19062.0,520.0,0,2,2,3,75.0,1,3.020706639820848,2,0
sdod930462581,17,26.891191,75.802083,19065.0,1070.0,4,3,3,0,75.0,6,13.391515800864783,0,0
visy471360404,6,21.160437,72.774209,19069.0,1225.0,3,1,1,0,75.0,4,16.695945260595646,2,0
wddq796276216,10,12.316967,76.603067,19083.0,1340.0,4,2,1,0,90.0,9,7.756832982430433,0,0
pqya338067587,17,18.927584,72.832585,19086.0,1420.0,2,2,3,0,145.0,2,13.750484667228939,1,0
last796029882,14,11.022298,76.998349,19062.0,1405.0,1,2,1,0,100.0,13,7.774259486970199,0,0
mzyt873581742,17,12.325461,76.632278,19064.0,760.0,0,0,2,0,195.0,12,6.2054267911859675,2,1
kbhb286226770,2,18.530963,73.828972,19055.0,1410.0,5,2,1,0,95.0,14,16.824024800777703,2,0
okvp821614347,6,17.458998,78.500366,19077.0,1435.0,0,2,2,3,19.0,5,4.601882860108752,3,0
oska955853002,4,19.1813,72.836191,19067.0,1370.0,5,2,1,0,85.0,4,19.846613904419858,1,0
rgwl479077727,6,11.022477,76.995667,19052.0,625.0,3,2,1,3,75.0,1,1.55490238236473,2,0
tmzv371880726,5,22.727021,75.884167,19066.0,525.0,2,2,1,3,95.0,0,3.020916215301368,2,1
ofxt601212694,8,12.979166,77.640709,19055.0,1285.0,2,1,1,0,145.0,0,13.94442758388673,2,0
lbui872023073,4,18.994237,72.825553,19069.0,1355.0,0,2,2,3,110.0,7,16.80256330471995,0,0
ixfk439251990,2,12.284747,76.625861,19074.0,1210.0,1,1,2,0,210.0,1,20.16747676677057,1,1
njfz936670348,8,21.175975,72.795503,19066.0,655.0,2,2,2,3,60.0,14,3.035902790349682,2,0
drir663128253,13,11.000762,76.981876,19059.0,1235.0,0,1,1,0,190.0,12,20.212460530271784,1,1
drdr957134932,6,21.173343,72.792731,19061.0,1400.0,4,2,1,0,115.0,9,16.695279587362798,2,0
qrzj427928057,20,26.479108,80.315042,19034.0,635.0,0,2,2,0,75.0,1,2.980982302644137,2,0
hkit681446136,8,21.175104,72.804342,19065.0,1425.0,4,2,1,0,120.0,11,12.142518774381282,0,0
imnm972342448,20,19.176269,72.836721,19067.0,1195.0,5,1,1,0,185.0,1,16.79399979607481,0,1
wnne890905509,12,12.975377,77.696664,19052.0,1335.0,2,2,2,0,120.0,14,7.747259356563763,1,0
kbdc711046313,12,23.359194,85.325447,19052.0,1390.0,4,2,3,0,65.0,8,9.043027721349308,0,0
alem833315854,1,12.297954,76.665169,19081.0,555.0,0,2,1,1,80.0,14,1.5514770796415485,2,0
khjm619520065,17,23.359407,85.325055,19053.0,1105.0,0,3,1,3,210.0,3,12.056953151950662,1,0
oiay843077855,1,23.416792,85.316842,19071.0,1330.0,2,2,1,0,85.0,15,13.561204009757525,1,0
ohhc448549441,5,26.892312,75.806896,19085.0,1250.0,0,1,1,0,125.0,7,4.464417671579878,2,0
knul324217390,20,22.761593,75.886362,19080.0,1125.0,1,3,2,0,195.0,2,16.610672955997153,0,1
buux572471968,18,11.026117,76.944652,19068.0,895.0,4,0,2,0,90.0,11,6.219419664894865,1,0
ieue797662723,13,13.064181,80.236442,19068.0,1010.0,2,3,1,0,140.0,1,6.196805343667927,1,0
eztk468187811,3,26.483042,80.317833,19038.0,1340.0,2,2,2,0,90.0,12,7.4519201744257,2,0
zzid436960558,4,11.000762,76.981876,19069.0,0.0,5,2,2,0,90.0,2,20.212460530271784,2,0
kllk327072475,14,23.359033,85.325347,19059.0,1270.0,1,1,2,0,245.0,0,16.577488524535227,1,0
uurs547552548,4,22.569358,88.433452,19040.0,1405.0,4,2,1,0,75.0,13,4.53364788897892,1,0
ubwl989345056,8,12.914264,77.6784,19082.0,1410.0,4,2,1,0,105.0,10,12.396712257294284,0,0
iimu721647260,15,19.121999,72.908493,19052.0,860.0,4,0,2,0,115.0,15,6.108440050157439,2,0
tfxz025621580,7,21.157729,72.768726,19085.0,615.0,1,2,2,3,55.0,14,1.5180601842214017,1,0
kgjb145446786,12,22.311603,73.165012,19075.0,1280.0,0,1,1,0,125.0,13,9.0744717731442,2,0
xrxy085440961,13,18.536562,73.896485,19058.0,530.0,1,2,1,0,90.0,1,3.059241752280784,0,0
pnzt689957903,8,22.745536,75.893106,19060.0,540.0,0,2,1,0,70.0,11,3.020731790895242,0,0
qrng205617369,2,12.933298,77.614293,19063.0,1065.0,5,3,1,0,180.0,10,13.945658037651098,2,0
gycd207308146,9,12.939496,77.625999,19075.0,1390.0,1,2,1,0,90.0,8,7.747793362638613,0,0
wqfy256790455,5,,,19081.0,995.0,1,3,2,3,85.0,15,,2,0
vgjr167867003,14,17.426228,78.407495,19056.0,510.0,2,2,1,0,140.0,4,1.534129114265342,1,1
jqco336937571,1,12.934365,77.616155,19069.0,1235.0,1,1,1,0,220.0,6,13.945629461520332,2,0
iwkp065421476,12,11.003669,76.976494,19064.0,1405.0,5,2,1,0,100.0,15,9.329319541894728,2,1
nwvu459529234,17,22.311358,73.164798,19082.0,1195.0,1,1,1,0,175.0,11,10.586720360323753,1,0
jjcl090851660,12,12.986047,80.218114,19074.0,1280.0,2,1,1,0,50.0,5,17.042634005428827,1,1
bpbi053158546,20,17.41233,78.449654,19075.0,1305.0,3,1,2,0,170.0,4,9.204512751051547,0,1
ksec432319879,10,21.17106,72.789292,19063.0,1180.0,4,1,3,0,85.0,9,12.142670416282547,2,0
rszv454658332,10,21.186884,72.793616,19054.0,890.0,2,0,2,3,115.0,0,6.071413761024368,1,0
cdyc438548517,18,11.026117,76.944652,19060.0,1090.0,1,3,1,0,135.0,1,4.6646029783419385,1,0
xoka811702118,14,,,19068.0,740.0,0,0,1,3,130.0,12,,1,0
nyum131271823,12,19.065838,72.832658,19069.0,1420.0,0,2,2,0,175.0,10,10.69100092566136,1,1
iwoy649851528,18,,,19070.0,770.0,5,0,1,3,205.0,9,,0,0
lhus187289759,7,12.98041,77.640489,19058.0,1400.0,2,2,1,1,115.0,15,9.296531667508525,1,1
szbb646301545,5,11.022477,76.995667,19055.0,1070.0,3,3,1,0,150.0,2,17.10252275797518,1,0
bwgn919229310,4,,,19085.0,625.0,5,2,2,0,95.0,10,,1,0
pdxn136638766,17,,,19062.0,550.0,5,2,2,0,135.0,4,,2,0
zzsx562940707,20,12.310972,76.659264,19083.0,750.0,0,0,1,0,140.0,3,6.205591081602371,2,0
gyvm380029078,1,11.025083,77.015393,19071.0,1030.0,2,3,1,0,120.0,15,12.438452034187613,1,0
umwc109456087,1,12.316967,76.603067,19082.0,1155.0,0,1,1,3,180.0,14,20.166286848244525,2,0
dsbe906886027,10,22.538731,88.364878,19036.0,1430.0,2,2,1,0,140.0,3,9.067759514408273,0,1
xnzb532907287,17,11.001753,76.986241,19080.0,1125.0,1,3,1,3,155.0,13,17.103104604488404,0,0
ltrp525870768,17,22.310237,73.158921,19067.0,1240.0,4,1,1,0,220.0,12,13.611105169020725,0,1
rbzk606295253,3,23.359033,85.325347,19065.0,1330.0,5,2,2,0,75.0,3,12.056968418188383,2,0
ltoi660207512,19,18.593481,73.785901,19082.0,1040.0,5,3,1,0,165.0,15,10.704957546119868,0,1
pkhq469939766,20,21.186438,72.794115,19068.0,1195.0,1,1,1,0,150.0,3,7.5891604266055,2,0
jgbc287273591,5,22.725748,75.898497,19079.0,1095.0,3,3,2,0,110.0,9,7.551948584727422,1,0
xzzw562394658,11,,,19086.0,1430.0,1,2,1,0,215.0,14,,3,1
gjwc226881646,16,17.450851,78.379347,19055.0,1045.0,1,3,1,0,240.0,7,13.804873199406153,1,0
lrbb564302256,14,13.081878,80.248519,19055.0,1425.0,3,2,3,0,95.0,11,13.941657178556436,3,0
fkyd365052251,20,10.035573,76.336958,19037.0,1110.0,5,3,1,3,105.0,3,10.900635211617388,0,0
wciq107093545,12,22.308096,73.167753,19076.0,1295.0,5,1,1,0,220.0,9,12.099040609550999,1,1
edxx482704762,18,12.975996,80.221898,19068.0,520.0,5,2,2,0,130.0,1,1.5495096221395899,2,0
jxsj508533395,18,12.3085,76.665808,19083.0,1355.0,5,2,2,0,26.0,5,4.654256824131882,0,0
xlta607070306,14,19.178321,72.834715,19070.0,705.0,5,0,1,0,155.0,14,1.5269331229160865,0,0
lubd358643567,5,,,19058.0,1405.0,3,2,2,3,19.0,5,,2,0
ycwb227184501,14,26.910262,75.783013,19053.0,1150.0,4,1,2,0,90.0,8,11.902924672837507,0,0
mikp615052003,20,25.443994,81.860187,19039.0,1125.0,1,3,1,0,190.0,4,10.472797742862058,2,0
djrw974238657,18,23.359194,85.325447,19080.0,1095.0,0,3,1,0,160.0,9,13.563852221699795,1,0
rxki994339301,6,17.458998,78.500366,19058.0,1350.0,2,2,2,0,85.0,7,7.6696078159334125,0,0
wfjy432968933,9,18.530963,73.828972,19054.0,1140.0,1,3,2,3,55.0,1,9.177365744557306,0,0
opdl820466364,19,12.321214,76.621094,19081.0,790.0,5,0,1,0,155.0,3,6.205474967025106,1,0
wbpn330130607,12,12.3085,76.665808,19070.0,1075.0,5,3,1,0,125.0,12,9.308258482124039,1,0
jtsd466670552,6,19.055831,72.833984,19066.0,1190.0,0,1,1,0,110.0,7,9.164099415262326,2,0
enww399699472,16,12.337928,76.617889,19053.0,1275.0,1,1,1,0,215.0,12,10.858950700039365,0,0
rvns240114667,20,23.351489,85.324253,19082.0,1175.0,1,1,1,0,210.0,6,10.550295445173377,1,0
fvko144254933,19,22.728163,75.884212,19057.0,1150.0,3,1,1,0,210.0,8,12.082423061297098,1,1
jocn049365284,16,13.026286,80.275235,19072.0,1280.0,1,1,1,0,170.0,13,4.647989333607506,1,0
atgc248887447,10,26.766536,75.837333,19052.0,590.0,2,2,1,0,85.0,14,2.977717993714077,2,0
jexa898688264,8,21.149834,72.778666,19075.0,1235.0,3,1,2,0,125.0,10,4.5541509794301644,0,0
cmvs014428179,19,12.3085,76.665808,19086.0,1275.0,2,1,1,2,270.0,2,13.962004343954739,1,1
ntme294239634,17,21.149669,72.772629,19053.0,1380.0,5,2,1,0,105.0,4,10.625702124383546,2,0
tryr235168039,7,17.411028,78.329645,19083.0,900.0,0,0,1,0,170.0,13,6.136519522327368,1,1
cpya420089193,7,26.482581,80.315628,19035.0,1185.0,1,1,1,0,180.0,10,13.41246037752413,0,1
opvd660426426,17,12.284747,76.625861,19087.0,1065.0,4,3,1,0,85.0,3,9.308662119355633,1,0
ecar963502319,2,26.911378,75.789034,19054.0,540.0,4,2,1,0,80.0,4,1.4880598281970034,1,0
pbmy587069805,16,13.02978,80.208812,19088.0,1200.0,4,1,3,0,135.0,0,12.39395555693745,0,0
wasv461278289,1,12.323194,76.630583,19068.0,770.0,1,0,1,0,130.0,8,6.20545250887856,0,0
byhp076235734,4,18.563934,73.915367,19082.0,1300.0,1,1,1,0,230.0,6,13.764250249667594,2,0
ohfh963147472,18,22.569367,88.433187,19040.0,1195.0,4,1,1,0,145.0,14,9.066849655818128,1,0
nkmh560985800,7,12.949934,77.699386,19060.0,1175.0,2,1,1,0,115.0,11,9.297076456518703,0,0
gvea147758996,10,21.175975,72.795503,19078.0,1355.0,2,2,2,3,55.0,14,12.142486110300183,2,0
cypx969023715,7,22.725835,75.887648,19076.0,1030.0,3,3,1,0,140.0,0,16.612635818204165,2,0
oamt174420009,10,18.536562,73.896485,19062.0,1175.0,0,1,1,0,125.0,4,9.177225998300312,0,0
vmgc964372188,10,23.416792,85.316842,19054.0,630.0,2,2,1,0,55.0,13,3.013958870983999,2,0
jnge623681084,2,30.89286,75.822199,19038.0,1090.0,5,3,2,0,130.0,4,4.391724962431039,1,0
kzvx918950241,3,12.310972,76.659264,19058.0,610.0,3,2,1,0,115.0,0,3.1028522086456105,2,1
rlgt572766152,12,26.913987,75.752891,19069.0,1070.0,1,3,1,0,195.0,8,11.902753837483976,2,1
lvnz878892159,1,11.001753,76.986241,19085.0,530.0,1,2,1,1,55.0,0,3.1098846908757523,1,0
zhyo265634674,11,22.310237,73.158921,19088.0,1195.0,3,1,3,0,160.0,0,12.09895659021292,2,1
ezxe128319748,17,12.933284,77.615428,19057.0,1075.0,1,3,1,0,215.0,11,10.846831683112223,2,0
kifq556800414,5,12.297954,76.665169,19070.0,930.0,1,3,2,0,65.0,3,6.205738534229064,1,0
carl757119263,13,12.352058,76.60665,19072.0,580.0,5,2,3,0,125.0,7,1.5513238067891462,1,0
ywqd911535741,6,13.086438,80.220672,19070.0,1100.0,5,3,1,0,135.0,2,9.294705791241629,0,0
ppqt362000534,8,17.429585,78.392621,19079.0,935.0,5,3,2,0,145.0,12,6.136227883482838,2,0
czis944259836,13,12.978453,77.643685,19080.0,1095.0,2,3,1,0,165.0,12,10.845889966900735,2,1
ibwr067523869,4,13.044694,80.26147,19068.0,1015.0,1,3,1,3,19.0,5,6.19703893141132,0,0
fyao616279169,20,12.98041,77.640489,19080.0,1090.0,4,3,1,0,165.0,11,20.14112443663039,0,1
bfvj522482572,1,,,19072.0,1155.0,1,1,1,0,140.0,0,,0,0
zeaw181992534,1,26.846156,75.8023,19055.0,1105.0,5,3,3,1,75.0,3,11.905861749702474,1,0
tkua467465647,10,25.449659,81.839744,19038.0,1230.0,3,1,2,0,145.0,12,4.488577625714158,2,0
ljgp550489562,7,26.911927,75.797282,19080.0,1375.0,3,2,2,0,90.0,13,20.827572697496162,0,0
hnoc705310037,6,10.020683,76.310631,19036.0,655.0,3,2,1,0,70.0,0,1.557337963675556,0,0
lzkv724137602,15,12.935662,77.61413,19085.0,960.0,5,3,1,0,150.0,11,6.1983397369141935,2,0
qpqb113436782,12,15.585658,73.743606,19036.0,890.0,4,0,1,0,140.0,15,6.163798689174008,2,0
teij116088130,5,,,19067.0,1220.0,1,1,1,0,195.0,3,,0,0
zutg690542042,11,17.429585,78.392621,19084.0,1140.0,0,3,1,0,150.0,12,13.805626960611738,2,0
qphf884454355,17,26.766536,75.837333,19071.0,1095.0,2,3,1,0,180.0,0,19.351082464681973,0,0
fcib257172141,17,26.846156,75.8023,19080.0,1415.0,1,2,1,0,185.0,6,20.832850885766774,2,1
fium151549195,7,26.913987,75.752891,19055.0,1175.0,0,1,1,0,215.0,0,20.827407215134496,0,0
vvnq162473052,11,22.310526,73.170937,19078.0,1415.0,4,2,2,1,145.0,0,16.635239139962547,1,0
hhem665543827,1,,,19034.0,1080.0,3,3,2,0,125.0,11,,2,0
zfgf746938367,14,12.972532,77.608179,19060.0,1090.0,1,3,3,3,75.0,1,7.747301749382407,2,0
nfdj333236314,15,19.103249,72.846749,19063.0,1270.0,5,1,1,0,195.0,2,13.743748712643285,0,1
zfxe533340329,17,17.426228,78.407495,19086.0,1420.0,5,2,1,0,100.0,2,12.271931674507936,1,0
kwmv603335255,14,26.471617,80.313564,19034.0,660.0,1,2,1,0,75.0,0,2.9810670001645105,1,0
gopn683041817,3,19.866969,75.318894,19041.0,1365.0,2,2,1,0,80.0,7,16.760840661943323,2,0
ppri902151840,19,18.593481,73.785901,19070.0,660.0,4,2,2,0,95.0,2,1.5294048118807104,2,0
libi732501950,8,12.906229,77.596791,19053.0,1405.0,1,2,2,0,100.0,8,12.396903135321155,2,0
kdbu035077095,13,26.482581,80.315628,19037.0,1260.0,4,1,2,0,125.0,1,10.432310169081864,1,0
mfol662804540,7,12.933298,77.614293,19078.0,1170.0,0,1,1,0,215.0,6,12.396259636749217,1,0
bdgu970232668,10,22.751857,75.866699,19055.0,1375.0,5,2,1,3,75.0,15,19.630777254614774,1,0
odlo529484325,12,11.010375,76.95295,19088.0,1225.0,4,1,1,3,145.0,10,12.43875210831113,2,0
vxvr447893698,9,17.483216,78.552111,19077.0,755.0,3,0,1,0,70.0,9,6.135383422532994,2,0
fmhd254099683,2,27.160934,78.044095,19034.0,1135.0,4,3,1,0,55.0,15,8.91888668509988,0,0
evzr452255970,2,11.006686,76.951736,19079.0,1365.0,2,2,1,0,95.0,2,7.774458242271917,0,1
hdgi344002220,11,,,19069.0,1425.0,5,2,1,0,145.0,12,,1,0
ypdy132507323,10,25.457687,81.835585,19034.0,925.0,0,3,1,3,55.0,11,5.984484703060141,0,0
vpun175942482,1,19.12663,72.829976,19079.0,690.0,4,0,1,0,70.0,14,1.527154370684199,1,0
cdkz589624699,9,19.875016,75.322405,19039.0,1355.0,5,2,1,3,75.0,4,13.713493498525082,1,0
kiyg810534481,6,19.178321,72.834715,19067.0,1415.0,2,2,1,0,16.0,5,10.687630840937123,1,0
pwbi898606991,19,13.026279,80.174568,19079.0,625.0,3,2,1,0,100.0,0,3.0986894979955277,0,0
taqg748867597,20,17.455894,78.375467,19054.0,1340.0,3,2,1,0,130.0,10,4.60191950861356,1,0
dkgi875489081,7,21.149834,72.778666,19064.0,1035.0,5,3,2,0,130.0,4,9.107880591147303,0,0
ubag651976139,14,11.022477,76.995667,19065.0,1290.0,5,1,1,3,215.0,14,10.883781468541267,2,1
zxtz236128998,5,22.310237,73.158921,19052.0,1120.0,2,3,1,3,125.0,6,9.074511964797063,1,0
hmju318251956,5,11.010375,76.95295,19072.0,910.0,1,3,1,0,140.0,14,6.2195799756053045,1,0
ltwr528697521,14,22.745049,75.892471,19061.0,1370.0,3,2,2,0,85.0,13,13.59174349203564,2,0
jsku204560077,16,22.74806,75.8934,19071.0,1170.0,5,1,1,0,220.0,11,13.591608297249033,1,1
istj070213071,8,19.178321,72.834715,19088.0,1230.0,3,1,1,0,165.0,7,13.740852946326266,0,1
dahw022547497,10,12.979096,77.640625,19085.0,1125.0,4,3,1,0,75.0,4,4.64841181693955,0,0
vvgj958702360,15,27.163303,78.057044,19035.0,1390.0,1,2,2,0,135.0,12,19.321445595986216,1,0
